Time (s) Control 3,Force (N) Control 3
1.386000000000001,0.0
1.388,0.0
1.3900000000000006,0.0
1.3920000000000012,-0.01
1.394,0.0
1.3960000000000008,0.0
1.3979999999999997,0.0
1.4000000000000004,0.01
1.402000000000001,0.01
1.404,0.0
1.4060000000000006,0.0
1.4080000000000013,-0.01
1.41,0.0
1.4120000000000008,0.0
1.4139999999999997,0.0
1.4160000000000004,0.0
1.418000000000001,0.0
1.42,-0.01
1.4220000000000006,-0.01
1.4240000000000013,-0.01
1.4260000000000002,0.0
1.4280000000000008,-0.01
1.4299999999999995,-0.01
1.4320000000000004,0.0
1.434000000000001,-0.01
1.436,-0.01
1.4380000000000006,-0.01
1.4400000000000013,-0.01
1.4420000000000002,-0.02
1.4440000000000008,-0.01
1.4459999999999995,-0.01
1.4480000000000004,-0.01
1.450000000000001,-0.01
1.452,-0.01
1.4540000000000006,0.0
1.4560000000000013,0.0
1.4580000000000002,0.0
1.4600000000000009,-0.01
1.4619999999999995,0.0
1.4640000000000004,0.0
1.466000000000001,-0.01
1.468,-0.01
1.4700000000000006,0.0
1.4720000000000013,0.0
1.4740000000000002,-0.01
1.4760000000000009,0.0
1.4779999999999998,0.0
1.4800000000000004,0.0
1.482000000000001,0.0
1.484,0.0
1.4860000000000009,0.0
1.488000000000001,0.0
1.4900000000000002,0.0
1.4920000000000009,-0.01
1.4939999999999998,0.0
1.4960000000000004,-0.01
1.498000000000001,-0.01
1.5,0.0
1.502000000000001,-0.01
1.5040000000000011,-0.02
1.5060000000000002,-0.01
1.508000000000001,-0.01
1.5099999999999998,-0.01
1.5120000000000005,0.0
1.5140000000000011,-0.01
1.516,0.0
1.518000000000001,-0.01
1.5200000000000014,-0.01
1.5220000000000002,-0.02
1.524000000000001,-0.02
1.5259999999999998,-0.02
1.5280000000000005,-0.01
1.5300000000000011,-0.01
1.532,0.0
1.5340000000000007,-0.01
1.5360000000000014,-0.01
1.5380000000000005,-0.01
1.540000000000001,-0.01
1.5419999999999998,-0.01
1.5440000000000005,0.0
1.5460000000000012,0.0
1.548,0.0
1.5500000000000007,0.0
1.5520000000000014,-0.01
1.5540000000000005,0.0
1.556000000000001,-0.01
1.5579999999999998,0.01
1.5600000000000005,0.0
1.5620000000000012,-0.01
1.564,-0.01
1.5660000000000007,-0.01
1.5679999999999996,-0.02
1.5700000000000005,-0.01
1.572000000000001,-0.02
1.5739999999999998,-0.01
1.5760000000000003,0.0
1.5780000000000012,-0.01
1.58,-0.01
1.5820000000000007,-0.01
1.5839999999999996,-0.01
1.5860000000000003,0.0
1.588000000000001,1.81
1.59,5.61
1.5920000000000003,8.91
1.5940000000000012,11.08
1.596,11.84
1.5980000000000008,10.91
1.5999999999999996,8.87
1.6020000000000003,6.38
1.604000000000001,3.8
1.606,1.27
1.6080000000000003,-0.07
1.6100000000000012,-0.01
1.612,0.01
1.6140000000000008,-0.04
1.6159999999999997,-0.02
1.6180000000000003,0.01
1.620000000000001,-0.02
1.622,-0.01
1.6240000000000006,-0.01
1.6260000000000012,-0.01
1.628,0.0
1.6300000000000008,-0.01
